Rollout_Number,Name,Status,Library_Segment,Word_Count,Characters,Output_Path,Result,Generated_At
1.0,COR-EDU-001,Active,CORE,75.0,493,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-EDU-001.mp3,OK,2026-06-20T15:48:25
2.0,COR-SCI-010,Active,CORE,84.0,521,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-SCI-010.mp3,OK,2026-06-20T15:48:31
3.0,COR-WRK-007,Active,CORE,70.0,399,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-WRK-007.mp3,OK,2026-06-20T15:48:36
4.0,COR-SCI-002,Active,CORE,70.0,492,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-SCI-002.mp3,OK,2026-06-20T15:48:41
5.0,COR-EDU-006,Active,CORE,73.0,505,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-EDU-006.mp3,OK,2026-06-20T15:48:46
6.0,COR-ECN-002,Active,CORE,70.0,431,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-ECN-002.mp3,OK,2026-06-20T15:48:51
7.0,COR-WRK-003,Active,CORE,70.0,443,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-WRK-003.mp3,OK,2026-06-20T15:48:56
8.0,COR-SCI-013,Active,CORE,70.0,490,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-SCI-013.mp3,OK,2026-06-20T15:49:02
9.0,COR-EDU-015,Active,CORE,72.0,533,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-EDU-015.mp3,OK,2026-06-20T15:49:08
10.0,COR-ECN-010,Active,CORE,73.0,503,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-ECN-010.mp3,OK,2026-06-20T15:49:14
11.0,COR-HLT-005,Active,CORE,71.0,538,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-HLT-005.mp3,OK,2026-06-20T15:49:20
12.0,COR-HLT-002,Active,CORE,75.0,526,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-HLT-002.mp3,OK,2026-06-20T15:49:27
13.0,COR-ENV-008,Active,CORE,78.0,552,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-ENV-008.mp3,OK,2026-06-20T15:49:33
14.0,COR-BIO-008,Active,CORE,76.0,462,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-BIO-008.mp3,OK,2026-06-20T15:49:38
15.0,COR-HLT-012,Active,CORE,76.0,580,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-HLT-012.mp3,OK,2026-06-20T15:49:45
16.0,COR-ENV-001,Active,CORE,73.0,492,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-ENV-001.mp3,OK,2026-06-20T15:49:50
17.0,COR-ENV-015,Active,CORE,76.0,544,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-ENV-015.mp3,OK,2026-06-20T15:49:56
18.0,COR-HLT-009,Active,CORE,82.0,575,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-HLT-009.mp3,OK,2026-06-20T15:50:03
19.0,COR-HLT-022,Active,CORE,77.0,518,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-HLT-022.mp3,OK,2026-06-20T15:50:09
20.0,COR-BIO-011,Active,CORE,78.0,502,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-BIO-011.mp3,OK,2026-06-20T15:50:14
21.0,COR-GOV-003,Active,CORE,76.0,554,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-GOV-003.mp3,OK,2026-06-20T15:50:20
22.0,COR-SOC-008,Active,CORE,77.0,539,/home/moore/b10_corpus/b10_practice_platform/audio/core_full/COR-SOC-008.mp3,OK,2026-06-20T15:50:27
