Rollout_Number,Name,Status,Library_Segment,Word_Count,Characters,Output_Path,Result,Generated_At
8.0,EXT-EDU-008,Validated,EXT,156.0,1133,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-EDU-008.mp3,OK,2026-06-20T17:20:47
11.0,EXT-6A-03,Validated,EXT,158.0,1097,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-6A-03.mp3,OK,2026-06-20T17:20:50
12.0,EXT-GOV-006,Validated,EXT,147.0,1147,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-GOV-006.mp3,OK,2026-06-20T17:20:52
13.0,EXT-6B-01,Validated,EXT,180.0,1322,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-6B-01.mp3,OK,2026-06-20T17:20:55
14.0,EXT-HLT-003,Validated,EXT,176.0,1368,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-HLT-003.mp3,OK,2026-06-20T17:20:58
15.0,EXT-6B-02,Validated,EXT,168.0,1291,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-6B-02.mp3,OK,2026-06-20T17:21:01
16.0,EXT-INT-007,Validated,EXT,167.0,1186,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-INT-007.mp3,OK,2026-06-20T17:21:03
18.0,EXT-JUS-007,Validated,EXT,175.0,1278,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-JUS-007.mp3,OK,2026-06-20T17:21:06
19.0,EXT-1A-02,Validated,EXT,124.0,963,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-1A-02.mp3,OK,2026-06-20T17:21:08
20.0,EXT-CUL-002,Validated,EXT,121.0,931,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-CUL-002.mp3,OK,2026-06-20T17:21:10
21.0,EXT-3A-04,Validated,EXT,129.0,928,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-3A-04.mp3,OK,2026-06-20T17:21:12
22.0,EXT-ECN-001,Validated,EXT,122.0,870,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-ECN-001.mp3,OK,2026-06-20T17:21:14
23.0,EXT-4A-04,Validated,EXT,130.0,915,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-4A-04.mp3,OK,2026-06-20T17:21:16
24.0,EXT-EDU-004,Validated,EXT,133.0,1029,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-EDU-004.mp3,OK,2026-06-20T17:21:18
25.0,EXT-4B-03,Validated,EXT,151.0,994,/home/moore/b10_corpus/b10_practice_platform/audio/ext_full/EXT-4B-03.mp3,OK,2026-06-20T17:21:21
