Name,StoragePath,Result,SyncedAt
EXT-EDU-008,audio/corpus/EXT/EXT-EDU-008.mp3,OK,2026-06-20T17:27:09
EXT-6A-03,audio/corpus/EXT/EXT-6A-03.mp3,OK,2026-06-20T17:27:10
EXT-GOV-006,audio/corpus/EXT/EXT-GOV-006.mp3,OK,2026-06-20T17:27:11
EXT-6B-01,audio/corpus/EXT/EXT-6B-01.mp3,OK,2026-06-20T17:27:12
EXT-HLT-003,audio/corpus/EXT/EXT-HLT-003.mp3,OK,2026-06-20T17:27:13
EXT-6B-02,audio/corpus/EXT/EXT-6B-02.mp3,OK,2026-06-20T17:27:13
EXT-INT-007,audio/corpus/EXT/EXT-INT-007.mp3,OK,2026-06-20T17:27:14
EXT-JUS-007,audio/corpus/EXT/EXT-JUS-007.mp3,OK,2026-06-20T17:27:15
EXT-1A-02,audio/corpus/EXT/EXT-1A-02.mp3,OK,2026-06-20T17:27:16
EXT-CUL-002,audio/corpus/EXT/EXT-CUL-002.mp3,OK,2026-06-20T17:27:17
EXT-3A-04,audio/corpus/EXT/EXT-3A-04.mp3,OK,2026-06-20T17:27:18
EXT-ECN-001,audio/corpus/EXT/EXT-ECN-001.mp3,OK,2026-06-20T17:27:18
EXT-4A-04,audio/corpus/EXT/EXT-4A-04.mp3,OK,2026-06-20T17:27:19
EXT-EDU-004,audio/corpus/EXT/EXT-EDU-004.mp3,OK,2026-06-20T17:27:20
EXT-4B-03,audio/corpus/EXT/EXT-4B-03.mp3,OK,2026-06-20T17:27:21
EXT-EDU-009,audio/corpus/EXT/EXT-EDU-009.mp3,OK,2026-06-20T17:27:21
EXT-5B-02,audio/corpus/EXT/EXT-5B-02.mp3,OK,2026-06-20T17:27:22
EXT-ENV-005,audio/corpus/EXT/EXT-ENV-005.mp3,OK,2026-06-20T17:27:23
EXT-6A-04,audio/corpus/EXT/EXT-6A-04.mp3,OK,2026-06-20T17:27:24
EXT-GOV-007,audio/corpus/EXT/EXT-GOV-007.mp3,OK,2026-06-20T17:27:25
EXT-6B-04,audio/corpus/EXT/EXT-6B-04.mp3,OK,2026-06-20T17:27:26
EXT-HLT-004,audio/corpus/EXT/EXT-HLT-004.mp3,OK,2026-06-20T17:27:27
EXT-6B-05,audio/corpus/EXT/EXT-6B-05.mp3,OK,2026-06-20T17:27:28
EXT-INT-009,audio/corpus/EXT/EXT-INT-009.mp3,OK,2026-06-20T17:27:29
EXT-5A-01,audio/corpus/EXT/EXT-5A-01.mp3,OK,2026-06-20T17:27:29
EXT-JUS-009,audio/corpus/EXT/EXT-JUS-009.mp3,OK,2026-06-20T17:27:30
EXT-1A-04,audio/corpus/EXT/EXT-1A-04.mp3,OK,2026-06-20T17:27:31
EXT-CUL-003,audio/corpus/EXT/EXT-CUL-003.mp3,OK,2026-06-20T17:27:32
EXT-3A-05,audio/corpus/EXT/EXT-3A-05.mp3,OK,2026-06-20T17:27:33
EXT-ECN-002,audio/corpus/EXT/EXT-ECN-002.mp3,OK,2026-06-20T17:27:33
EXT-4A-05,audio/corpus/EXT/EXT-4A-05.mp3,OK,2026-06-20T17:27:34
EXT-EDU-007,audio/corpus/EXT/EXT-EDU-007.mp3,OK,2026-06-20T17:27:35
EXT-4B-04,audio/corpus/EXT/EXT-4B-04.mp3,OK,2026-06-20T17:27:35
EXT-EDU-010,audio/corpus/EXT/EXT-EDU-010.mp3,OK,2026-06-20T17:27:36
EXT-5B-03,audio/corpus/EXT/EXT-5B-03.mp3,OK,2026-06-20T17:27:37
EXT-ENV-006,audio/corpus/EXT/EXT-ENV-006.mp3,OK,2026-06-20T17:27:38
