Rollout_Number,Name,Status,Library_Segment,Word_Count,Characters,Output_Path,Result,Generated_At
,OR-01-SOC,Validated,ORIENT,79.0,481,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-01-SOC.mp3,OK,2026-06-20T17:02:25
,OR-02-ECN,Validated,ORIENT,72.0,423,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-02-ECN.mp3,OK,2026-06-20T17:02:30
,OR-03-ENV,Validated,ORIENT,74.0,448,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-03-ENV.mp3,OK,2026-06-20T17:02:35
,OR-04-TEC,Validated,ORIENT,78.0,531,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-04-TEC.mp3,OK,2026-06-20T17:02:41
,OR-05-HLT,Validated,ORIENT,80.0,505,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-05-HLT.mp3,OK,2026-06-20T17:02:47
,OR-06-SCI,Validated,ORIENT,74.0,475,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-06-SCI.mp3,OK,2026-06-20T17:02:52
,OR-07-SCI,Validated,ORIENT,72.0,433,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-07-SCI.mp3,OK,2026-06-20T17:02:57
,OR-08-BIO,Validated,ORIENT,70.0,399,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-08-BIO.mp3,OK,2026-06-20T17:03:01
,OR-09-TEC,Validated,ORIENT,70.0,456,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-09-TEC.mp3,OK,2026-06-20T17:03:07
,OR-10-SOC,Validated,ORIENT,70.0,465,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-10-SOC.mp3,OK,2026-06-20T17:03:12
,OR-11-PHY,Validated,ORIENT,76.0,450,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-11-PHY.mp3,OK,2026-06-20T17:03:17
,OR-12-HLT,Validated,ORIENT,77.0,472,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-12-HLT.mp3,OK,2026-06-20T17:03:22
,OR-13-SOC,Validated,ORIENT,74.0,457,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-13-SOC.mp3,OK,2026-06-20T17:03:27
,OR-14-ENV,Validated,ORIENT,76.0,471,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-14-ENV.mp3,OK,2026-06-20T17:03:32
,OR-15-PHY,Validated,ORIENT,70.0,433,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-15-PHY.mp3,OK,2026-06-20T17:03:37
,OR-16-ECN,Validated,ORIENT,73.0,478,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-16-ECN.mp3,OK,2026-06-20T17:03:42
,OR-17-TEC,Validated,ORIENT,74.0,506,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-17-TEC.mp3,OK,2026-06-20T17:03:47
,OR-18-BIO,Validated,ORIENT,79.0,500,/home/moore/b10_corpus/b10_practice_platform/audio/orient_full/OR-18-BIO.mp3,OK,2026-06-20T17:03:53
