Name,StoragePath,Result,SyncedAt
OR-01-SOC,audio/corpus/ORI/OR-01-SOC.mp3,OK,2026-06-20T17:06:30
OR-02-ECN,audio/corpus/ORI/OR-02-ECN.mp3,OK,2026-06-20T17:06:31
OR-03-ENV,audio/corpus/ORI/OR-03-ENV.mp3,OK,2026-06-20T17:06:31
OR-04-TEC,audio/corpus/ORI/OR-04-TEC.mp3,OK,2026-06-20T17:06:32
OR-05-HLT,audio/corpus/ORI/OR-05-HLT.mp3,OK,2026-06-20T17:06:32
OR-06-SCI,audio/corpus/ORI/OR-06-SCI.mp3,OK,2026-06-20T17:06:33
OR-07-SCI,audio/corpus/ORI/OR-07-SCI.mp3,OK,2026-06-20T17:06:33
OR-08-BIO,audio/corpus/ORI/OR-08-BIO.mp3,OK,2026-06-20T17:06:34
OR-09-TEC,audio/corpus/ORI/OR-09-TEC.mp3,OK,2026-06-20T17:06:34
OR-10-SOC,audio/corpus/ORI/OR-10-SOC.mp3,OK,2026-06-20T17:06:35
OR-11-PHY,audio/corpus/ORI/OR-11-PHY.mp3,OK,2026-06-20T17:06:35
OR-12-HLT,audio/corpus/ORI/OR-12-HLT.mp3,OK,2026-06-20T17:06:36
OR-13-SOC,audio/corpus/ORI/OR-13-SOC.mp3,OK,2026-06-20T17:06:36
OR-14-ENV,audio/corpus/ORI/OR-14-ENV.mp3,OK,2026-06-20T17:06:36
OR-15-PHY,audio/corpus/ORI/OR-15-PHY.mp3,OK,2026-06-20T17:06:37
OR-16-ECN,audio/corpus/ORI/OR-16-ECN.mp3,OK,2026-06-20T17:06:37
OR-17-TEC,audio/corpus/ORI/OR-17-TEC.mp3,OK,2026-06-20T17:06:37
OR-18-BIO,audio/corpus/ORI/OR-18-BIO.mp3,OK,2026-06-20T17:06:38
